ID,smiles,docking_score,flag,split,Fingerprint,TSNE_1,TSNE_2
45139992,CNC(=O)c1nn(C)c2c1CCc1cnc(NC3CCN(C(=O)c4ccccc4)CC3)nc1-2,-9.163,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba51017e0>,25.795782,48.68489
CHEMBL57639,O=C1Nc2ccc(Br)cc2/C1=C/c1[nH]cc2c1CCNC2=O,-9.325,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba51007b0>,-51.066742,16.826807
57951286,CC(C)(Nc1ccc(Cl)c(NC(=O)C2CC2)c1)C(=O)Nc1nc2c(C(F)(F)F)cc3[nH]ncc3c2s1,-2.567,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba51015b0>,-41.23382,40.861755
CHEMBL76925,CCCCOc1c([S@](=O)c2ccccc2)cnc2n[nH]cc12,-7.634,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba5101620>,-14.74013,-7.8106728
164615728,C/C=C\C(=O)Nc1cc(F)c(N2CCC[C@@H](Nc3ncc(Cl)c(-c4c[nH]c5ccccc45)n3)C2)cc1C,-9.403,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba5101690>,3.199201,53.895412
136240093,Fc1ccccc1[C@@H](Nc1nnc(-c2c[nH]c3ncncc23)o1)C1CC1,-8.929,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba5101b60>,-3.9152536,10.373485
145989774,CSc1ncc2c(n1)CCc1cnc(Nc3ccc(C(=O)N4CCOCC4)cc3)nc1-2,-9.926,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba51018c0>,31.679169,34.548054
21362603,CC(C)n1cnc2c(NCc3ccc(-c4ccccn4)nc3)nc(N[C@H]3CC[C@@H](N)CC3)nc21,-9.238,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba51019a0>,53.814236,-27.91788
135402947,CCc1nn(-c2c(Cl)cc(Cl)cc2Cl)c2nc(Cc3ccccc3)[nH]c(=O)c12,-9.185,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba5101a80>,-55.697716,-41.881294
164617593,O=C(O)CCCO/N=C1/C(c2c(O)[nH]c3ccccc23)=Nc2ccccc21,-9.785,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba5101bd0>,-33.01521,6.469709
