ID,smiles,docking_score,flag,split
118705850,NS(=O)(=O)c1ccc(N2N=C(C(F)(F)F)C[C@H]2c2ccc3c(c2)OCO3)cc1,-10.602,1,train
CHEMBL427356,CS(=O)(=O)c1ccc(C#CC(=O)c2ccc(F)cc2)cc1,-7.533,1,train
10296709,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)c(Cl)c2-c2ccc(Cl)cc2)cc1,-11.617,1,train
10177578,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(Cl)c3)CC3(CC3)C2)cc1,-11.544,1,train
22034374,Cc1[nH]c2cc(S(C)(=O)=O)ccc2c1Sc1ccc(F)cc1F,-9.918,1,train
X128,Cc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)s1,-11.131,1,train
10319221,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)N(c3ccccc3F)C2)cc1,-11.161,1,train
10131479,COc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CCC2)cc1,-10.316,1,train
155524017,C#CCOc1ccc(/C=C2\SC(=O)NC2=O)cc1,-6.524,1,train
118705852,NS(=O)(=O)c1ccc(N2N=C(C(F)(F)F)C[C@H]2c2cccc3c2OCO3)cc1,-10.842,1,train
155515749,Cc1cccc(C=Cc2ccc(=O)[nH]n2)c1,-5.156,1,train
10407440,COc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1F,-10.83,1,train
11025223,COc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1C,-10.871,1,train
15390771,CC(C)c1cc(-c2ccc(S(N)(=O)=O)cc2)c(-c2ccc(F)cc2)s1,-12.38,1,train
10544389,Cc1ccc(-n2c(-c3ccc(S(N)(=O)=O)cc3)coc2=O)cc1,-10.562,1,train
10833677,COc1ccc(-n2c(-c3ccc(S(N)(=O)=O)cc3)coc2=O)cc1Cl,-10.626,1,train
10830272,CS(=O)(=O)c1ccc(C2=C(c3cccc(F)c3)C(=O)CC2)cc1,-10.953,1,train
X097,CS(=O)(=O)c1ccc(-n2cc(CC#N)nc2-c2ccc(Cl)cc2)cc1,-9.691,1,train
17919591,CS(=O)(=O)c1ccc(-c2cnn(CC(F)(F)F)c(=O)c2-c2ccccc2)cc1,-11.523,1,train
127030238,CCCCCCNC(=O)Oc1cccc(-c2ccc(C(C)C(=O)O)cc2C(F)(F)F)c1,-5.719,1,train
9890350,COc1ccc2c(c1F)CSc1c(C(F)(F)F)nn(-c3ccc(S(C)(=O)=O)cc3)c1-2,-11.556,1,train
22562341,COc1ccc2c(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccc(F)cc3)nn2n1,-10.595,1,train
9967867,N#Cc1cc(-c2ccc(F)cc2)n(-c2ccc(S(N)(=O)=O)cc2)n1,-11.02,1,train
171343888,C=c1ccsc1=Cc1c(C)[nH]n(-c2ccc(S(N)(=O)=O)cc2)c1=O,-9.479,1,train
10549551,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccc([N+](=O)[O-])c2)cc1,-10.766,1,train
3394,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,-7.739,1,train
42612023,Nc1c(C(=O)N/N=C/c2ccc(Cl)cc2)cnn1-c1ccc(S(N)(=O)=O)cc1,-8.872,1,train
15345565,Cc1ccc2c(c1)CSc1c(C(F)(F)F)nn(-c3ccc(S(N)(=O)=O)cc3)c1-2,-12.536,1,train
132547259,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(=O)(=O)NCCCCCCC(O)=NO)cc2)cc1,-10.422,1,train
10020588,C[C@@H]1C(c2ccc(F)cc2)=C(c2ccc(S(C)(=O)=O)cc2)ON1C,-10.747,1,train
12965791,NS(=O)(=O)c1ccc(-c2[nH]c3ccc(F)cc3c2-c2ccccc2)cc1,-10.531,1,train
9929562,CC1(C)OC(=O)C(Oc2ccc(F)cc2)=C1c1ccc(S(C)(=O)=O)cc1,-6.766,1,train
145953074,CS(=O)(=O)c1ccc2c(c1)c1c(n2C(=O)c2ccc(Cl)cc2)CCCC1,-9.749,1,train
10425834,CS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1,-10.287,1,train
10742004,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cncc(Br)c2)cc1,-10.334,1,train
10573666,COc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1C,-11.307,1,train
11078663,NS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc(F)cc2)cc1,-10.942,1,train
44338793,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1[C@H]1CC[C@@H](F)CC1,-10.49,1,train
155521710,N#Cc1cnn(-c2ccc(S(N)(=O)=O)cc2)c1/N=C/c1ccccc1,-10.931,1,train
10592313,Cc1ccncc1C1=C(c2ccc(S(C)(=O)=O)cc2)CCC1=O,-9.983,1,train
9998267,Cc1ccc2c(c1)=C1C(c3ccc(S(C)(=O)=O)cc3)C(=O)O[C@@H]1CC=2,-10.303,1,train
10108987,CC1(C)OC(=O)C(=Nc2ccccc2)C1c1ccc(S(C)(=O)=O)cc1,-10.043,1,train
